date,close
,2330.TW
2023-01-03,427.8570556640625
2023-01-04,424.55133056640625
2023-01-05,433.0517883300781
2023-01-06,433.0517883300781
2023-01-09,454.3030090332031
2023-01-10,459.02545166015625
2023-01-11,457.6087341308594
2023-01-12,459.4977722167969
2023-01-13,472.2484130859375
2023-01-16,476.9709167480469
2023-01-17,475.0818786621094
2023-01-30,512.8618774414062
2023-01-31,493.02734375
2023-02-01,500.5833740234375
2023-02-02,510.0283508300781
2023-02-03,511.9173278808594
2023-02-06,496.8053283691406
2023-02-07,493.9718322753906
2023-02-08,510.0283508300781
2023-02-09,510.0283508300781
2023-02-10,514.7507934570312
2023-02-13,510.97283935546875
2023-02-14,514.7507934570312
2023-02-15,495.8608703613281
2023-02-16,498.6943359375
2023-02-17,489.2493896484375
2023-02-20,488.30487060546875
2023-02-21,487.3603515625
2023-02-22,478.85992431640625
2023-02-23,489.2493896484375
2023-02-24,482.63787841796875
2023-03-01,493.02734375
2023-03-02,490.19384765625
2023-03-03,487.3603515625
2023-03-06,492.082763671875
2023-03-07,494.9164123535156
2023-03-08,492.082763671875
2023-03-09,493.02734375
2023-03-10,484.52685546875
2023-03-13,487.3603515625
2023-03-14,481.693359375
2023-03-15,482.63787841796875
2023-03-16,479.551513671875
2023-03-17,491.8963623046875
2023-03-20,486.1987609863281
2023-03-21,490.94677734375
2023-03-22,506.1404113769531
2023-03-23,510.8884582519531
2023-03-24,511.8381042480469
2023-03-27,504.24127197265625
2023-03-28,498.543701171875
2023-03-29,503.29168701171875
2023-03-30,508.0396423339844
2023-03-31,506.1404113769531
2023-04-06,503.29168701171875
2023-04-07,504.24127197265625
2023-04-10,502.3420715332031
2023-04-11,497.59405517578125
2023-04-12,493.79559326171875
2023-04-13,484.2994689941406
2023-04-14,489.9971618652344
2023-04-17,493.79559326171875
2023-04-18,489.04754638671875
2023-04-19,484.2994689941406
2023-04-20,487.1483154296875
2023-04-21,485.24908447265625
2023-04-24,481.4507141113281
2023-04-25,472.90423583984375
2023-04-26,466.7318115234375
2023-04-27,468.6310119628906
2023-04-28,476.70269775390625
2023-05-02,475.7530517578125
2023-05-03,471.0050354003906
2023-05-04,472.90423583984375
2023-05-05,474.8034362792969
2023-05-08,478.6019287109375
2023-05-09,484.2994689941406
2023-05-10,477.6522521972656
2023-05-11,473.8538513183594
2023-05-12,471.0050354003906
2023-05-15,470.53021240234375
2023-05-16,479.551513671875
2023-05-17,492.84600830078125
2023-05-18,503.29168701171875
2023-05-19,505.19091796875
2023-05-22,504.24127197265625
2023-05-23,503.29168701171875
2023-05-24,498.543701171875
2023-05-25,515.6366577148438
2023-05-26,537.4775390625
2023-05-29,539.3767700195312
2023-05-30,537.4775390625
2023-05-31,529.8805541992188
2023-06-01,523.2333374023438
2023-06-02,533.6790161132812
2023-06-05,527.03173828125
2023-06-06,531.7798461914062
2023-06-07,539.3767700195312
2023-06-08,530.8302001953125
2023-06-09,536.5280151367188
2023-06-12,545.0743408203125
2023-06-13,563.1168823242188
2023-06-14,560.26806640625
2023-06-15,563.8455810546875
2023-06-16,561.9375610351562
2023-06-19,556.213134765625
2023-06-20,556.213134765625
2023-06-21,554.3051147460938
2023-06-26,547.626708984375
2023-06-27,545.7186279296875
2023-06-28,547.626708984375
2023-06-29,546.6726684570312
2023-06-30,549.5348510742188
2023-07-03,552.3969116210938
2023-07-04,558.1213989257812
2023-07-05,555.2592163085938
2023-07-06,539.040283203125
2023-07-07,539.040283203125
2023-07-10,539.040283203125
2023-07-11,550.4889526367188
2023-07-12,551.4429321289062
2023-07-13,558.1213989257812
2023-07-14,563.8455810546875
2023-07-17,563.8455810546875
2023-07-18,554.3051147460938
2023-07-19,554.3051147460938
2023-07-20,552.3969116210938
2023-07-21,534.2699584960938
2023-07-24,532.3618774414062
2023-07-25,542.8565063476562
2023-07-26,539.9942626953125
2023-07-27,542.8565063476562
2023-07-28,540.9483032226562
2023-07-31,539.040283203125
2023-08-01,540.9483032226562
2023-08-02,535.2239990234375
2023-08-04,528.5455932617188
2023-08-07,532.3618774414062
2023-08-08,526.6375122070312
2023-08-09,528.5455932617188
2023-08-10,525.68359375
2023-08-11,520.9132690429688
2023-08-14,516.1428833007812
2023-08-15,517.0970458984375
2023-08-16,517.0970458984375
2023-08-17,519.0051879882812
2023-08-18,514.23486328125
2023-08-21,512.3267211914062
2023-08-22,516.1428833007812
2023-08-23,526.6375122070312
2023-08-24,538.0863037109375
2023-08-25,520.9132690429688
2023-08-28,523.775390625
2023-08-29,526.6375122070312
2023-08-30,529.4996948242188
2023-08-31,523.775390625
2023-09-01,522.8212890625
2023-09-04,531.4078369140625
2023-09-05,526.6375122070312
2023-09-06,524.7294311523438
2023-09-07,517.0970458984375
2023-09-08,514.23486328125
2023-09-11,511.3727111816406
2023-09-12,519.0051879882812
2023-09-13,516.1428833007812
2023-09-14,527.6553344726562
2023-09-15,535.3303833007812
2023-09-18,518.0617065429688
2023-09-19,516.1428833007812
2023-09-20,513.2647705078125
2023-09-21,505.5898132324219
2023-09-22,500.7929992675781
2023-09-25,503.6709899902344
2023-09-26,497.914794921875
2023-09-27,500.7929992675781
2023-09-28,501.7523193359375
2023-10-02,511.34613037109375
2023-10-03,507.5085144042969
2023-10-04,498.87420654296875
2023-10-05,506.54925537109375
2023-10-06,510.3865966796875
2023-10-11,521.899169921875
2023-10-12,527.6553344726562
2023-10-13,530.5335083007812
2023-10-16,522.8585815429688
2023-10-17,528.61474609375
2023-10-18,518.0617065429688
2023-10-19,523.8179321289062
2023-10-20,533.4116821289062
2023-10-23,521.899169921875
2023-10-24,521.899169921875
2023-10-25,521.899169921875
2023-10-26,509.4273376464844
2023-10-27,511.34613037109375
2023-10-30,510.3865966796875
2023-10-31,507.5085144042969
2023-11-01,506.54925537109375
2023-11-02,524.77734375
2023-11-03,526.6961059570312
2023-11-06,527.6553344726562
2023-11-07,532.4522705078125
2023-11-08,533.4116821289062
2023-11-09,534.3710327148438
2023-11-10,534.3710327148438
2023-11-13,547.8021850585938
2023-11-14,548.76171875
2023-11-15,557.39599609375
2023-11-16,559.314697265625
2023-11-17,556.4365844726562
2023-11-20,553.5584106445312
2023-11-21,561.2334594726562
2023-11-22,553.5584106445312
2023-11-23,554.5177612304688
2023-11-24,551.6396484375
2023-11-27,544.9241333007812
2023-11-28,551.6396484375
2023-11-29,550.680419921875
2023-11-30,553.5584106445312
2023-12-01,555.477294921875
2023-12-04,550.680419921875
2023-12-05,546.8428955078125
2023-12-06,546.8428955078125
2023-12-07,543.0054321289062
2023-12-08,546.8428955078125
2023-12-11,550.680419921875
2023-12-12,554.5177612304688
2023-12-13,553.5584106445312
2023-12-14,561.2735595703125
2023-12-15,564.166748046875
2023-12-18,564.166748046875
2023-12-19,564.166748046875
2023-12-20,564.166748046875
2023-12-21,556.4515991210938
2023-12-22,561.2735595703125
2023-12-25,560.3092651367188
2023-12-26,565.1312255859375
2023-12-27,570.9175415039062
2023-12-28,571.8818359375
2023-12-29,571.8818359375
2024-01-02,571.8818359375
2024-01-03,557.4159545898438
2024-01-04,559.3447875976562
2024-01-05,555.4872436523438
2024-01-08,562.2379760742188
2024-01-09,565.1312255859375
2024-01-10,563.202392578125
2024-01-11,565.1312255859375
2024-01-12,563.202392578125
2024-01-15,565.1312255859375
2024-01-16,559.3447875976562
2024-01-17,560.3092651367188
2024-01-18,567.0598754882812
2024-01-19,603.7066650390625
2024-01-22,603.7066650390625
2024-01-23,605.6353759765625
2024-01-24,604.6710205078125
2024-01-25,619.1368408203125
2024-01-26,621.065673828125
2024-01-29,624.9231567382812
2024-01-30,619.1368408203125
2024-01-31,605.6353759765625
2024-02-01,605.6353759765625
2024-02-02,612.3861694335938
2024-02-05,622.994384765625
2024-02-15,672.1782836914062
2024-02-16,658.6766357421875
2024-02-19,653.8547973632812
2024-02-20,662.5343017578125
2024-02-21,656.7479248046875
2024-02-22,667.3562622070312
2024-02-23,672.1782836914062
2024-02-26,673.142578125
2024-02-27,673.142578125
2024-02-29,665.427490234375
2024-03-01,664.4630737304688
2024-03-04,699.1809692382812
2024-03-05,704.0029907226562
2024-03-06,708.8248901367188
2024-03-07,732.9346313476562
2024-03-08,756.0798950195312
2024-03-11,738.720947265625
2024-03-12,742.5784912109375
2024-03-13,751.2579345703125
2024-03-14,756.0798950195312
2024-03-15,726.1838989257812
2024-03-18,740.2326049804688
2024-03-19,738.2947387695312
2024-03-20,734.4193115234375
2024-03-21,759.6104125976562
2024-03-22,760.5792846679688
2024-03-25,755.7348022460938
2024-03-26,757.6727294921875
2024-03-27,754.765869140625
2024-03-28,745.0770874023438
2024-03-29,751.8592529296875
2024-04-01,746.0460205078125
2024-04-02,765.4236450195312
2024-04-03,755.7348022460938
2024-04-08,758.6416015625
2024-04-09,793.5215454101562
2024-04-10,789.6459350585938
2024-04-11,794.490478515625
2024-04-12,792.5526733398438
2024-04-15,780.9260864257812
2024-04-16,763.4860229492188
2024-04-17,778.9882202148438
2024-04-18,778.9882202148438
2024-04-19,726.6680908203125
2024-04-22,718.9170532226562
2024-04-23,730.543701171875
2024-04-24,758.6416015625
2024-04-25,742.1703491210938
2024-04-26,757.6727294921875
2024-04-29,770.2682495117188
2024-04-30,765.4236450195312
2024-05-02,747.9837036132812
2024-05-03,755.7348022460938
2024-05-06,761.548095703125
2024-05-07,775.1126098632812
2024-05-08,777.0504150390625
2024-05-09,771.237060546875
2024-05-10,777.0504150390625
2024-05-13,793.5215454101562
2024-05-14,799.3348388671875
2024-05-15,812.8992919921875
2024-05-16,814.8372192382812
